0000,Crow River Country Club,Hutchinson+MN,71,125,71.4
0001,Koronis Hills Golf Course,Paynesville+MN,71,127,70.1
0002,Shadowbrooke Golf Course,Lester Praire+MN,71,123,69.1
0003,Blackberry Ridge Golf Course,Sartell+MN,72,137,70.8
0004,New Ulm Country Club,New Ulm+MN,71,121,69.8
0005,Oakdale Golf Club,Buffalo Lake+MN,72,123,70.1
0006,Litchfield Golf Course,Litchfield+MN,70,129,70.7
